Work ID,Work ISWC,Party ID,Party IPI Name,Party Full Name,Party Role
EV8KNI,T3064185888,376679,450690167,CARY RYAN BARLOWE,ComposerLyricist
G6593I,,2523494,,WOLFGANG MOZART,Composer
MVA0U3,T3058055855,338376,57376652,ROBERT VINCENT JR CHEEVERS,ComposerLyricist
L54778,T9023753539,363632,420164014,DAMIR PRICE,ComposerLyricist
EA5EWD,T3112749034,386499,569476493,ALEXANDRA LEAH TAMPOSI,ComposerLyricist
HV9CCC,T9135656234,374344,250845178,JOHN JAMES LAZAROFF,ComposerLyricist
F6405N,T3060438399,424996,,ANNA LYNNE WILLIAMS,ComposerLyricist
Z0516Z,,3907856,,CHING DAVY DNU - TAM KWOK,Composer
AC888X,T9219962671,4607220,668859274,ALIBOTS,OriginalPublisher
LVC1FH,,2887670,,DOUBLE AITCH MUSIC,OriginalPublisher
MA5651,T7031628410,2418294,151409005,LOUIS PIERRE PHILIPPE BEAUDOIN,ComposerLyricist
DVBMDK,,2618294,,JUNG YU KIM,Lyricist
DVCUQ2,,2725717,812722952,CEZAME METRO PARK,RightsAdministrator
NV8HTF,,2331852,,HASIM ASLIHAK,Composer
H3493U,,2470758,,D. WEASH,Composer
D81840,,2599106,,MABEL WAYNE,Composer
LVC1FH,,2633463,87225169,WILHELMUS WILL HOEBEE,Lyricist
T7257G,T9059521527,2687483,451840661,PIOTR CUGOWSKI,Composer
AVE85P,,2726345,,EDITION UNBEATEN,OriginalPublisher
LVBR7U,T7034083326,2739141,,AXS,OriginalPublisher
RA8A02,,2743530,,FIGURATA MUSIC GMBH CO KG,OriginalPublisher
L5136S,T0114186876,363812,247942343,NOTTING HILL MUSIC LONDON,OriginalPublisher
F1699Z,,384506,57452569,JAMES MITCHELL,Composer
CVB6DY,T3051246841,2253604,,ALEXANDER HAMDI,Composer
C5709G,,2318284,,STEVEN FRANK,Composer
Z63823,T9143556325,2377128,347452454,JOEL DAVID HOEKSTRA,Composer
M8843B,,2521862,,JOE ISAACS,Composer
PVCCMK,T9212322355,2725807,,PURPLE FOX METRO PARK,RightsAdministrator
X0901N,T8017377628,2744616,405648952,DIGIDANCE PUB,OriginalPublisher
DVCUQ2,,2826982,711685448,BIBLIOTHEQUE MUSIC LTD,OriginalPublisher
FVB5IC,,2862169,146447171,KOSINUS,OriginalPublisher
HVBMI2,T9290028249,2933709,556296615,ASSIGNEE MUSIC,OriginalPublisher
P8759O,,318262,160187388,WARNER CHAPPELL MUSIC LTD,OriginalPublisher
RV9UQ3,T3063987457,328184,292561549,NICHOLAS J FORTE,ComposerLyricist
PVCCMK,T9212322355,360692,193291750,DOUG R BOSSI,Composer
