Work ID,Work ISWC,Party ID,Party IPI Name,Party Full Name,Party Role
BV9UQG,T3149046828,431076,218128290,BRIAN THOMAS CURTIN,ComposerLyricist
CV9UZZ,T3064114945,397502,643693719,JOSEPH ALAN BRESNICK,ComposerLyricist
UA2QBE,T9287444104,433903,335331881,PHILLIP MICHAEL BRIGHT,ComposerLyricist
PVCNNN,,3864852,7382989,ALBERT ALBERT VAN DAM,Composer
PVBJ47,,430892,540388651,ZONG TING XIE,ComposerLyricist
BVCDI9,,2729280,852074639,LOCKED MUSIC,OriginalPublisher
W67290,,1361023,,L. HILL,Composer
M5890I,,1557499,,NATRAJ DURGA,Composer
L3240P,,1598093,160067695,CHARLES ORLANDO HARRISON,Composer
JV7AQI,,1939928,436482055,PAUL CHRISTOPHER SMITH,ComposerLyricist
DB0YEY,,4857406,370623474,MITCHELL TALENT GROUP INC.,OriginalPublisher
SC7TMI,T9053263755,491560,69574335,JAMES NEWTON HOWARD,ComposerLyricist
M5859M,,484575,448562431,TRADITIONAL,Composer
SH9S46,T0020716066,519234,,ACUM,OriginalPublisher
I19488,T0714971615,610959,128633767,EMI APRIL MUSIC INC,OriginalPublisher
L3240P,,2001218,,NICK REYNOLDS,Composer
MV9HTC,,2111274,143474186,MARTIN GROSS,Composer
O55412,T9142912503,472434,260901390,FELIX MAJOR BUXTON,Composer
EV8SWE,,477168,,MECHERY LOUIS OUSEPHACHAN,ComposerLyricist
D5002E,,2339467,256911357,FARHAD ZAND,Composer
I19488,T0714971615,325320,342850666,TRECINA EVETTE ATKINS,ComposerLyricist
CV9P54,T3057925512,327926,183737150,PATRICK MICHAEL SMITH,ComposerLyricist
SV99NS,,2449316,,SHAYNA DONNELL STEELE,Composer
FVAZOD,,2743566,,G7 MUSIC,OriginalPublisher
DA272K,T9202896068,2766193,691634521,JAMES JOSEPH KLOEPPEL,ComposerLyricist
H2413E,T0006146662,347249,268458228,PONTUS JOHAN WINNBERG,ComposerLyricist
W7583A,,4248867,33189687,STEVIE WONDER,ComposerLyricist
L5136S,T0114186876,2417600,46592659,MARK AMBLER,ComposerLyricist
BA4ME2,T9230684103,421437,678905784,CAMERON EDWARD NEILSON,ComposerLyricist
HA3PQS,,2725805,,PURPLE FOX APM,OriginalPublisher
IC8Z82,T0025738617,2372461,9566669,AMOS ETTINGER,Lyricist
H2044Q,T7000230786,4470926,30541428,JIMMIE THOMAS,ComposerLyricist
I19488,T0714971615,325329,336994910,WARRYN S II CAMPBELL,ComposerLyricist
TVFMNL,,4372463,442160000,MARC OLIVIER,Composer
BVATVS,,679001,183126677,PEERMUSIC III LTD,OriginalPublisher
L54778,T9023753539,689845,356296239,"TARMAC 1331 PUBLISHING, INC.",OriginalPublisher
M5890I,,710288,538724724,UNIVERSAL MUSIC-MGB SONGS,RightsAdministrator
O55412,T9142912503,729251,282430576,UNIVERSAL/MCA MUSIC LTD.,OriginalPublisher
JV7AQI,,916748,724721356,NW ASCAP COLLECTIONS,OriginalPublisher
E58791,T0700518075,861339,338164558,SONY/ATV TUNES LLC,OriginalPublisher
BVCDI9,,927121,509030978,SENTRIC MUSIC LIMITED,RightsAdministrator
X8995F,,881106,,TFC,OriginalPublisher
I19488,T0714971615,892737,742116471,CAPITOL CMG AMPLIFIER,OriginalPublisher
H2413E,T0006146662,858746,276367041,MURLYN SONGS AB,OriginalPublisher
